activity_set,name,note
ag,"Agriculture, Ag Energy Use, Crop Production, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Crop Production, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Crop Production, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Livestock, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Livestock, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Livestock, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Biodiesel",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Biodiesel",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Distillate",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Distillate",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Distillate",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Ethanol",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Ethanol",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Gasoline",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Gasoline",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Gasoline",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Kerosene",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Kerosene",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Kerosene",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Natural gas",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Renewable Diesel",
ag,"Agriculture, Ag Energy Use, Not Specified, None, Fuel combustion, Renewable Diesel",
ag,"Agriculture, Ag Residue Burning, Field Crops, None, Crop acreage burned, Barley",
ag,"Agriculture, Ag Residue Burning, Field Crops, None, Crop acreage burned, Barley",
ag,"Agriculture, Ag Residue Burning, Field Crops, None, Crop acreage burned, Corn",
ag,"Agriculture, Ag Residue Burning, Field Crops, None, Crop acreage burned, Corn",
ag,"Agriculture, Ag Residue Burning, Field Crops, None, Crop acreage burned, Rice",
ag,"Agriculture, Ag Residue Burning, Field Crops, None, Crop acreage burned, Rice",
ag,"Agriculture, Ag Residue Burning, Field Crops, None, Crop acreage burned, Wheat",
ag,"Agriculture, Ag Residue Burning, Field Crops, None, Crop acreage burned, Wheat",
ag,"Agriculture, Ag Residue Burning, Orchard & Vineyard, None, Crop acreage burned, Almond",
ag,"Agriculture, Ag Residue Burning, Orchard & Vineyard, None, Crop acreage burned, Almond",
ag,"Agriculture, Ag Residue Burning, Orchard & Vineyard, None, Crop acreage burned, Walnut",
ag,"Agriculture, Ag Residue Burning, Orchard & Vineyard, None, Crop acreage burned, Walnut",
ag,"Agriculture, Ag Soil Management, Crop Residues, Direct, Nitrogen in crop residues, NA",
ag,"Agriculture, Ag Soil Management, Fertilizer, Direct, Nitrogen applied in fertilizer, Organic fertilizers",
ag,"Agriculture, Ag Soil Management, Fertilizer, Direct, Nitrogen applied in fertilizer, Synthetic fertilizers",
ag,"Agriculture, Ag Soil Management, Fertilizer, Indirect, Nitrogen applied in fertilizer, Organic fertilizers",
ag,"Agriculture, Ag Soil Management, Fertilizer, Indirect, Nitrogen applied in fertilizer, Synthetic fertilizers",
ag,"Agriculture, Ag Soil Management, Liming, None, Dolomite applied to soils, NA",
ag,"Agriculture, Ag Soil Management, Liming, None, Limestone applied to soils, NA",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in managed manure, Beef cattle",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in managed manure, Dairy cows",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in managed manure, Dairy heifers",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in managed manure, Poultry",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in managed manure, Sheep, goat, horse",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in managed manure, Swine",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in unmanaged manure, Beef cattle",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in unmanaged manure, Dairy cows",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in unmanaged manure, Dairy heifers",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in unmanaged manure, Poultry",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in unmanaged manure, Sheep, goat, horse",
ag,"Agriculture, Ag Soil Management, Manure, Direct, Nitrogen in unmanaged manure, Swine",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in managed manure, Beef cattle",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in managed manure, Dairy cows",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in managed manure, Dairy heifers",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in managed manure, Poultry",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in managed manure, Sheep, goat, horse",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in managed manure, Swine",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in unmanaged manure, Beef cattle",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in unmanaged manure, Dairy cows",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in unmanaged manure, Dairy heifers",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in unmanaged manure, Poultry",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in unmanaged manure, Sheep, goat, horse",
ag,"Agriculture, Ag Soil Management, Manure, Indirect, Nitrogen in unmanaged manure, Swine",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Beef calves",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Beef cows",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Beef replacements 0-12 months",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Beef replacements 12-24 months",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Bulls",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Dairy calves",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Dairy cows",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Dairy replacements 0-12 months",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Dairy replacements 12-24 months",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Heifer feedlot",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Heifer stockers",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Steer feedlot",
ag,"Agriculture, Enteric Fermentation, Cattle, None, Livestock population, Steer stockers",
ag,"Agriculture, Enteric Fermentation, Other Livestock, None, Livestock population, Goats",
ag,"Agriculture, Enteric Fermentation, Other Livestock, None, Livestock population, Horses",
ag,"Agriculture, Enteric Fermentation, Other Livestock, None, Livestock population, Sheep",
ag,"Agriculture, Enteric Fermentation, Other Livestock, None, Livestock population, Swine",
ag,"Agriculture, Histosol Cultivation, Not Specified, Direct, Drained histosols, NA",
ag,"Agriculture, Manure Management, Cattle, Anaerobic digester, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Anaerobic digester, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Anaerobic lagoon, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Anaerobic lagoon, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Daily spread, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Daily spread, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Daily spread, Livestock population, Dairy heifers",
ag,"Agriculture, Manure Management, Cattle, Daily spread, Livestock population, Dairy heifers",
ag,"Agriculture, Manure Management, Cattle, Deep pit, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Deep pit, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Dry lot, Livestock population, Dairy heifers",
ag,"Agriculture, Manure Management, Cattle, Dry lot, Livestock population, Dairy heifers",
ag,"Agriculture, Manure Management, Cattle, Dry lot, Livestock population, Feedlot - heifers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Dry lot, Livestock population, Feedlot - heifers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Dry lot, Livestock population, Feedlot - steers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Dry lot, Livestock population, Feedlot - steers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Liquid/slurry, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Liquid/slurry, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Liquid/slurry, Livestock population, Dairy heifers",
ag,"Agriculture, Manure Management, Cattle, Liquid/slurry, Livestock population, Dairy heifers",
ag,"Agriculture, Manure Management, Cattle, Liquid/slurry, Livestock population, Feedlot - heifers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Liquid/slurry, Livestock population, Feedlot - heifers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Liquid/slurry, Livestock population, Feedlot - steers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Liquid/slurry, Livestock population, Feedlot - steers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Pasture, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Pasture, Livestock population, Dairy heifers",
ag,"Agriculture, Manure Management, Cattle, Pasture, Livestock population, Not on feed - beef cows",
ag,"Agriculture, Manure Management, Cattle, Pasture, Livestock population, Not on feed - bulls 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Pasture, Livestock population, Not on feed - calves <500 lbs",
ag,"Agriculture, Manure Management, Cattle, Pasture, Livestock population, Not on feed - heifers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Pasture, Livestock population, Not on feed - steers 500+ lbs",
ag,"Agriculture, Manure Management, Cattle, Solid storage, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Cattle, Solid storage, Livestock population, Dairy cows",
ag,"Agriculture, Manure Management, Other Livestock, Dry lot, Livestock population, Goats",
ag,"Agriculture, Manure Management, Other Livestock, Dry lot, Livestock population, Goats",
ag,"Agriculture, Manure Management, Other Livestock, Dry lot, Livestock population, Horses",
ag,"Agriculture, Manure Management, Other Livestock, Dry lot, Livestock population, Horses",
ag,"Agriculture, Manure Management, Other Livestock, Dry lot, Livestock population, Sheep",
ag,"Agriculture, Manure Management, Other Livestock, Dry lot, Livestock population, Sheep",
ag,"Agriculture, Manure Management, Other Livestock, Pasture, Livestock population, Goats",
ag,"Agriculture, Manure Management, Other Livestock, Pasture, Livestock population, Horses",
ag,"Agriculture, Manure Management, Other Livestock, Pasture, Livestock population, Sheep",
ag,"Agriculture, Manure Management, Poultry, Anaerobic lagoon, Livestock population, Hens 1+ yr",
ag,"Agriculture, Manure Management, Poultry, Anaerobic lagoon, Livestock population, Hens 1+ yr",
ag,"Agriculture, Manure Management, Poultry, Anaerobic lagoon, Livestock population, Other chickens",
ag,"Agriculture, Manure Management, Poultry, Anaerobic lagoon, Livestock population, Other chickens",
ag,"Agriculture, Manure Management, Poultry, Anaerobic lagoon, Livestock population, Pullets",
ag,"Agriculture, Manure Management, Poultry, Anaerobic lagoon, Livestock population, Pullets",
ag,"Agriculture, Manure Management, Poultry, Pasture, Livestock population, Broilers",
ag,"Agriculture, Manure Management, Poultry, Pasture, Livestock population, Turkeys",
ag,"Agriculture, Manure Management, Poultry, Poultry with bedding, Livestock population, Broilers",
ag,"Agriculture, Manure Management, Poultry, Poultry with bedding, Livestock population, Broilers",
ag,"Agriculture, Manure Management, Poultry, Poultry with bedding, Livestock population, Turkeys",
ag,"Agriculture, Manure Management, Poultry, Poultry with bedding, Livestock population, Turkeys",
ag,"Agriculture, Manure Management, Poultry, Poultry without bedding, Livestock population, Hens 1+ yr",
ag,"Agriculture, Manure Management, Poultry, Poultry without bedding, Livestock population, Hens 1+ yr",
ag,"Agriculture, Manure Management, Poultry, Poultry without bedding, Livestock population, Other chickens",
ag,"Agriculture, Manure Management, Poultry, Poultry without bedding, Livestock population, Other chickens",
ag,"Agriculture, Manure Management, Poultry, Poultry without bedding, Livestock population, Pullets",
ag,"Agriculture, Manure Management, Poultry, Poultry without bedding, Livestock population, Pullets",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic digester, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Anaerobic lagoon, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Deep pit, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Liquid/slurry, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Pasture, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Pasture, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Pasture, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Pasture, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Pasture, Livestock population, Swine - market 50-119 lbs",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - breeding",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - market < 50 lbs",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - market 120-179 lbs",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - market 180+ lbs",
ag,"Agriculture, Manure Management, Swine, Solid storage, Livestock population, Swine - market 180+ lbs",
